CustomerID,LookalikeID,SimilarityScore
C0001,C0164,0.9975983724345929
C0001,C0103,0.9953941278099471
C0001,C0069,0.9860733836106331
C0002,C0029,0.9997537292562625
C0002,C0031,0.9989862771052472
C0002,C0077,0.994312726345747
C0003,C0176,0.9029496971526534
C0003,C0027,0.8751211681188946
C0003,C0010,0.8329653020982932
C0004,C0075,0.9977891220712191
C0004,C0165,0.9944415111703248
C0004,C0113,0.993976488501688
C0005,C0123,0.9997808088942964
C0005,C0131,0.9996277242039578
C0005,C0058,0.9995605582180777
C0006,C0079,0.9998815163910635
C0006,C0117,0.9895248604182533
C0006,C0196,0.9452522588894806
C0007,C0125,0.9980316823166858
C0007,C0140,0.9979601864953596
C0007,C0092,0.9979042974085808
C0008,C0179,0.9981992905794519
C0008,C0081,0.9950291061097487
C0008,C0084,0.9929308812562458
C0009,C0192,0.9987781413090145
C0009,C0083,0.9957180831913479
C0009,C0177,0.9932099747861437
C0010,C0142,0.9646368112917465
C0010,C0029,0.9565195372684344
C0010,C0027,0.9535114266035424
C0011,C0096,0.9945642053273775
C0011,C0171,0.9926440431727047
C0011,C0064,0.9883566901799368
C0012,C0068,0.9996082087158923
C0012,C0065,0.999174203190667
C0012,C0102,0.9979890553233046
C0013,C0188,0.9993465146352909
C0013,C0059,0.9991582178910704
C0013,C0022,0.9989032273910522
C0014,C0033,0.9996370179530534
C0014,C0186,0.9994742841579195
C0014,C0095,0.9994541877070586
C0015,C0058,0.9999892357705313
C0015,C0131,0.9999662761198869
C0015,C0005,0.9995277437257132
C0016,C0107,0.9872482628237114
C0016,C0152,0.8471016394991449
C0016,C0183,0.8353265541195464
C0017,C0113,0.9985496611305837
C0017,C0162,0.997668547378708
C0017,C0124,0.997148152633162
C0018,C0182,0.9846969240377399
C0018,C0148,0.9788850159674236
C0018,C0200,0.9740264833768648
C0019,C0172,0.985929816439122
C0019,C0116,0.9576819671943043
C0019,C0157,0.8528014523164061
C0020,C0080,0.9998941335299402
C0020,C0167,0.9993416605407588
C0020,C0063,0.9993264511960818
